,ZipCode,NumberofIncidents
96,11211.0,250
91,11206.0,230
1,10002.0,199
2,10003.0,168
137,11368.0,166
111,11226.0,166
8,10010.0,165
90,11205.0,163
92,11207.0,152
13,10016.0,150
106,11221.0,145
122,11238.0,145
100,11215.0,143
16,10019.0,137
87,11201.0,137
102,11217.0,135
101,11216.0,133
144,11377.0,130
7,10009.0,128
140,11372.0,128
19,10022.0,124
80,11101.0,121
10,10012.0,110
0,10001.0,109
9,10011.0,108
98,11213.0,101
14,10017.0,98
114,11230.0,97
103,11218.0,97
88,11203.0,96
147,11385.0,96
105,11220.0,95
26,10029.0,94
89,11204.0,94
108,11223.0,94
104,11219.0,93
107,11222.0,91
11,10013.0,90
117,11233.0,89
22,10025.0,88
121,11237.0,88
24,10027.0,87
93,11208.0,84
99,11214.0,81
116,11232.0,77
110,11225.0,76
97,11212.0,75
124,11249.0,74
23,10026.0,73
95,11210.0,73
33,10036.0,73
141,11373.0,69
113,11229.0,69
119,11235.0,68
82,11103.0,66
15,10018.0,66
59,10457.0,64
69,10467.0,64
38,10065.0,63
120,11236.0,62
20,10023.0,62
58,10456.0,59
21,10024.0,57
118,11234.0,56
85,11106.0,55
12,10014.0,55
126,11355.0,53
62,10460.0,53
30,10033.0,52
60,10458.0,51
29,10032.0,51
53,10451.0,49
32,10035.0,47
70,10468.0,46
167,11434.0,46
94,11209.0,46
64,10462.0,46
54,10452.0,46
156,11419.0,45
18,10021.0,45
57,10455.0,45
42,10128.0,44
25,10028.0,44
27,10030.0,43
6,10007.0,43
83,11104.0,42
74,10472.0,41
28,10031.0,41
56,10454.0,40
143,11375.0,39
55,10453.0,39
115,11231.0,39
145,11378.0,38
158,11421.0,37
61,10459.0,37
34,10037.0,36
165,11432.0,36
35,10038.0,35
109,11224.0,35
170,11691.0,35
138,11369.0,34
166,11433.0,34
65,10463.0,34
146,11379.0,30
149,11412.0,30
84,11105.0,30
71,10469.0,30
129,11358.0,29
168,11435.0,29
81,11102.0,29
31,10034.0,29
68,10466.0,27
40,10075.0,27
150,11413.0,27
125,11354.0,26
63,10461.0,26
37,10040.0,25
112,11228.0,23
139,11370.0,22
155,11418.0,21
153,11416.0,21
67,10465.0,20
75,10473.0,19
154,11417.0,18
131,11361.0,17
142,11374.0,17
157,11420.0,17
46,10305.0,16
169,11436.0,16
4,10005.0,15
44,10301.0,15
128,11357.0,15
76,10474.0,15
45,10304.0,14
36,10039.0,14
173,11694.0,14
164,11429.0,13
47,10306.0,13
50,10310.0,13
162,11427.0,11
159,11422.0,11
152,11415.0,10
3,10004.0,10
163,11428.0,9
73,10471.0,9
148,11411.0,9
127,11356.0,9
135,11366.0,9
160,11423.0,8
136,11367.0,8
77,10475.0,7
133,11364.0,7
172,11693.0,7
151,11414.0,7
51,10312.0,7
123,11239.0,6
43,10280.0,6
72,10470.0,6
171,11692.0,6
161,11426.0,6
134,11365.0,6
48,10308.0,5
5,10006.0,5
17,10020.0,5
130,11360.0,4
78,11001.0,3
52,10314.0,3
66,10464.0,3
79,11004.0,3
39,10069.0,3
174,11697.0,3
49,10309.0,2
132,11362.0,2
41,10119.0,2
86,11109.0,1
