,ZipCode,NumberofIncidents
93,11206.0,91
2,10002.0,80
3,10003.0,75
142,11372.0,75
98,11211.0,71
94,11207.0,69
139,11368.0,68
92,11205.0,63
124,11238.0,57
103,11216.0,56
104,11217.0,56
14,10016.0,55
113,11226.0,54
90,11203.0,53
9,10010.0,51
112,11225.0,50
146,11377.0,50
17,10019.0,49
8,10009.0,49
102,11215.0,49
10,10011.0,48
99,11212.0,47
107,11220.0,47
1,10001.0,46
89,11201.0,44
108,11221.0,43
100,11213.0,43
105,11218.0,42
116,11230.0,42
109,11222.0,40
91,11204.0,39
83,11101.0,39
20,10022.0,39
106,11219.0,37
110,11223.0,36
85,11103.0,35
118,11232.0,34
143,11373.0,34
34,10036.0,32
25,10027.0,32
95,11208.0,32
119,11233.0,31
21,10023.0,31
115,11229.0,30
126,11249.0,30
12,10013.0,29
97,11210.0,29
149,11385.0,28
11,10012.0,28
16,10018.0,28
19,10021.0,28
15,10017.0,27
27,10029.0,27
121,11235.0,27
101,11214.0,25
123,11237.0,24
96,11209.0,24
84,11102.0,23
24,10026.0,23
23,10025.0,23
43,10128.0,23
64,10458.0,23
120,11234.0,22
122,11236.0,21
74,10468.0,20
88,11106.0,20
66,10460.0,19
78,10472.0,18
29,10031.0,18
86,11104.0,18
22,10024.0,18
13,10014.0,17
145,11375.0,17
31,10033.0,16
158,11419.0,16
151,11412.0,16
63,10457.0,15
7,10007.0,15
127,11354.0,15
160,11421.0,15
128,11355.0,15
111,11224.0,15
58,10452.0,15
62,10456.0,14
73,10467.0,14
87,11105.0,14
33,10035.0,14
140,11369.0,14
114,11228.0,14
32,10034.0,13
117,11231.0,13
67,10461.0,13
68,10462.0,13
172,11691.0,13
65,10459.0,13
159,11420.0,12
39,10065.0,12
26,10028.0,12
36,10038.0,12
169,11434.0,12
28,10030.0,12
59,10453.0,11
57,10451.0,11
147,11378.0,11
41,10075.0,11
72,10466.0,11
38,10040.0,10
30,10032.0,10
79,10473.0,10
80,10474.0,10
75,10469.0,10
157,11418.0,10
155,11416.0,9
141,11370.0,9
144,11374.0,9
61,10455.0,9
148,11379.0,9
152,11413.0,9
168,11433.0,8
167,11432.0,8
71,10465.0,8
60,10454.0,8
154,11415.0,7
46,10301.0,7
138,11367.0,7
37,10039.0,6
131,11358.0,6
51,10306.0,6
156,11417.0,6
134,11363.0,6
174,11694.0,6
69,10463.0,6
4,10004.0,6
135,11364.0,6
5,10005.0,6
171,11436.0,5
35,10037.0,5
161,11422.0,5
166,11429.0,5
130,11357.0,5
54,10310.0,5
49,10304.0,5
132,11361.0,4
47,10302.0,4
170,11435.0,4
150,11411.0,4
50,10305.0,4
163,11426.0,4
162,11423.0,4
136,11365.0,3
81,10475.0,3
82,11004.0,3
48,10303.0,3
56,10314.0,3
175,11697.0,3
165,11428.0,3
137,11366.0,3
164,11427.0,2
129,11356.0,2
70,10464.0,2
55,10312.0,2
77,10471.0,2
52,10308.0,2
45,10281.0,2
44,10280.0,2
173,11693.0,2
76,10470.0,1
53,10309.0,1
125,11239.0,1
133,11362.0,1
42,10119.0,1
40,10069.0,1
18,10020.0,1
153,11414.0,1
6,10006.0,1
0,10000.0,1
